account_id,business_name,industry,state,disbursement_date,funding_amount,repayment_term_months,factor_rate,origination_fee,repayment_status,monthly_payment_amount
ACC-0249,Cascade Masonry,Construction,WA,2024-03-18,76500,9,1.319,2078.01,Late,11211.5
ACC-0250,Cedar Grove Boutique,Retail,KY,2023-12-29,99500,6,1.227,2000.46,On Track,20347.75
ACC-0251,Compass Grill,Food & Beverage,VT,2023-12-13,47000,12,1.336,1321.8,On Track,5232.67
ACC-0252,Patriot Home Health,Healthcare,UT,2023-02-10,43000,9,1.29,821.54,On Track,6163.33
ACC-0253,Emerald Coffee Co.,Food & Beverage,WY,2023-11-27,70000,6,1.261,1215.39,Paid Off,14711.67
ACC-0254,Golden State Bistro,Food & Beverage,ME,2023-09-12,77000,18,1.211,1508.98,On Track,5180.39
ACC-0255,Prairie Commerce Co.,E-Commerce,TX,2024-08-21,43500,12,1.183,675.28,Defaulted,4288.38
ACC-0256,Cedar Grove Trading Co.,Retail,NH,2024-09-24,85000,12,1.186,1633.59,On Track,8400.83
ACC-0257,Meridian Excavation,Construction,AZ,2024-07-02,94500,18,1.45,2353.22,Paid Off,7612.5
ACC-0258,Trailhead Mercantile,Retail,IN,2023-01-23,112000,18,1.274,1919.04,On Track,7927.11
ACC-0259,Vanguard Taproom,Food & Beverage,ND,2024-09-06,146500,9,1.151,2442.22,On Track,18735.72
ACC-0260,Rocky Peak Shop,E-Commerce,FL,2023-10-17,34000,12,1.436,577.52,On Track,4068.67
ACC-0261,Copper Roofing,Construction,MI,2023-11-01,55500,12,1.156,897.06,Paid Off,5346.5
ACC-0262,Willow Eatery,Food & Beverage,RI,2024-11-21,55500,9,1.276,1560.63,Defaulted,7868.67
ACC-0263,Market Street Cafe,Food & Beverage,DE,2024-09-25,52000,9,1.365,1516.41,On Track,7886.67
ACC-0264,Liberty Freight,Logistics,MO,2023-02-07,38500,6,1.424,604.39,On Track,9137.33
ACC-0265,Liberty Delivery Co.,Logistics,HI,2023-09-21,24500,12,1.364,646.83,On Track,2784.83
ACC-0266,Rocky Peak Storefront,E-Commerce,NE,2024-07-02,58000,12,1.289,1511.32,On Track,6230.17
ACC-0267,Sunrise Home Health,Healthcare,IL,2024-01-29,36000,12,1.442,1078.33,Late,4326.0
ACC-0268,Cedar Grove Dermatology,Healthcare,WI,2023-07-08,57500,9,1.162,1162.54,Defaulted,7423.89
ACC-0269,Brookstone Direct,E-Commerce,AR,2024-01-19,35500,9,1.446,684.53,Late,5703.67
ACC-0270,Meridian Marketplace,E-Commerce,WI,2024-09-25,30000,9,1.405,653.89,On Track,4683.33
ACC-0271,Cedar Grove Cafe,Food & Beverage,SC,2023-06-13,62500,12,1.429,1740.54,On Track,7442.71
ACC-0272,Copper Supply Co.,Retail,TX,2024-06-29,60000,18,1.226,1555.73,Paid Off,4086.67
ACC-0273,Silver Creek Apparel,Retail,TX,2024-06-21,75500,18,1.193,1666.61,On Track,5003.97
ACC-0274,Mainline Logistics Group,Logistics,GA,2024-10-09,183000,18,1.349,3416.33,Paid Off,13714.83
ACC-0275,Beacon Vision Center,Healthcare,WA,2023-08-06,64000,18,1.305,1657.94,On Track,4640.0
ACC-0276,Evergreen Urgent Care,Healthcare,NJ,2023-06-07,72000,18,1.307,2002.89,On Track,5228.0
ACC-0277,Bayview Dermatology,Healthcare,WI,2024-02-05,30500,9,1.427,640.48,Late,4835.94
ACC-0278,Redwood HVAC Services,Construction,UT,2024-01-24,27000,6,1.336,675.78,On Track,6012.0
ACC-0279,Urban Outfitters,Retail,NH,2023-10-27,131500,6,1.243,2761.92,Defaulted,27242.42
ACC-0280,Copper Trading Co.,Retail,ME,2024-07-23,33000,9,1.27,731.85,On Track,4656.67
ACC-0281,Harbor Kitchen,Food & Beverage,CO,2024-08-07,31000,9,1.19,709.08,On Track,4098.89
ACC-0282,Urban Physical Therapy,Healthcare,CO,2023-06-29,54000,6,1.208,1438.34,On Track,10872.0
ACC-0283,Willow Builders,Construction,MD,2024-08-04,52500,18,1.193,1557.29,On Track,3479.58
ACC-0284,Downtown Chiropractic,Healthcare,SD,2023-06-18,33500,6,1.393,725.79,On Track,7777.58
ACC-0285,New Day Pediatrics,Healthcare,MT,2023-10-25,46500,18,1.361,936.26,On Track,3515.92
ACC-0286,First Avenue Delivery Co.,Logistics,MO,2023-01-20,108000,12,1.309,2225.22,Paid Off,11781.0
ACC-0287,Rocky Peak Emporium,Retail,IL,2023-09-06,35500,12,1.262,603.8,Late,3733.42
ACC-0288,First Avenue Outlet,E-Commerce,NH,2024-12-01,25500,12,1.351,496.08,On Track,2870.88
ACC-0289,New Day Storefront,E-Commerce,NY,2023-11-20,92500,9,1.394,1507.45,On Track,14327.22
ACC-0290,Pine Hollow Vision Center,Healthcare,WY,2024-06-03,72000,12,1.414,1542.13,On Track,8484.0
ACC-0291,Crossroads Roofing,Construction,OR,2023-03-20,39000,6,1.314,682.9,Late,8541.0
ACC-0292,Urban Eatery,Food & Beverage,NM,2024-04-09,23000,18,1.396,464.51,Paid Off,1783.78
ACC-0293,Highland Transport,Logistics,VA,2023-09-29,36500,9,1.303,981.98,On Track,5284.39
ACC-0294,Granite Bakery,Food & Beverage,MI,2024-06-27,53500,9,1.292,999.86,On Track,7680.22
ACC-0295,First Avenue Outlet,E-Commerce,WA,2024-11-09,104500,12,1.41,2526.64,On Track,12278.75
ACC-0296,Downtown Fulfillment,E-Commerce,ME,2024-01-24,31000,12,1.266,884.05,On Track,3270.5
ACC-0297,Crossroads Logistics Group,Logistics,CT,2023-03-17,52500,9,1.269,1233.96,On Track,7402.5
ACC-0298,Redwood Vision Center,Healthcare,MA,2023-12-15,79500,12,1.241,1423.6,Defaulted,8221.63
ACC-0299,Emerald Coffee Co.,Food & Beverage,CT,2023-03-31,15000,6,1.306,302.57,On Track,3265.0
ACC-0300,Blue River Mercantile,Retail,CO,2023-11-25,97000,12,1.313,2313.99,On Track,10613.42
ACC-0301,Mainline Physical Therapy,Healthcare,VT,2023-02-14,28500,9,1.348,644.08,On Track,4268.67
ACC-0302,Lakeside Plumbing,Construction,SC,2024-04-13,66000,9,1.279,1137.13,Paid Off,9379.33
ACC-0303,Oakline Outfitters,Retail,ID,2023-08-15,63000,6,1.215,1367.22,On Track,12757.5
ACC-0304,Urban Express,Logistics,TN,2023-05-28,100000,9,1.41,2314.6,On Track,15666.67
ACC-0305,Summit Direct,E-Commerce,AR,2023-01-13,74500,9,1.254,1416.24,On Track,10380.33
ACC-0306,Evergreen Supply Co.,Retail,IA,2024-10-11,15000,9,1.427,362.8,Paid Off,2378.33
ACC-0307,Golden State Pizzeria,Food & Beverage,OK,2024-09-03,35500,6,1.212,569.86,On Track,7171.0
ACC-0308,Sapphire Storefront,E-Commerce,KS,2024-08-16,59500,6,1.318,1192.92,Defaulted,13070.17
ACC-0309,Brookstone Grill,Food & Beverage,OR,2023-02-12,49500,12,1.311,1339.68,On Track,5407.88
ACC-0310,Market Street Emporium,Retail,UT,2023-09-13,71500,6,1.399,1350.58,On Track,16671.42
ACC-0311,Old Town Outlet,E-Commerce,AR,2024-12-11,85000,12,1.192,2046.6,Defaulted,8443.33
ACC-0312,Sapphire Masonry,Construction,AK,2024-02-27,77000,18,1.423,1628.58,Late,6087.28
ACC-0313,Golden State Dry Goods,Retail,WV,2023-04-04,49000,9,1.309,967.6,On Track,7126.78
ACC-0314,Liberty Smokehouse,Food & Beverage,NE,2023-04-14,20000,18,1.326,574.84,Late,1473.33
ACC-0315,Cascade Pizzeria,Food & Beverage,MT,2023-07-12,43000,6,1.303,866.4,On Track,9338.17
ACC-0316,Lone Star Digital,E-Commerce,MS,2024-12-11,69000,6,1.161,1279.96,On Track,13351.5
ACC-0317,Oakline Electric,Construction,MI,2023-05-04,30000,12,1.299,859.19,Late,3247.5
ACC-0318,Downtown Contracting,Construction,OH,2024-10-22,78000,12,1.229,2042.75,Late,7988.5
ACC-0319,Sunrise Hauling,Logistics,NH,2024-05-10,90500,12,1.253,2283.04,On Track,9449.71
ACC-0320,Downtown Carpentry,Construction,FL,2024-11-04,59000,6,1.345,928.84,Paid Off,13225.83
ACC-0321,Meridian Taproom,Food & Beverage,NY,2024-08-26,10000,12,1.299,169.68,On Track,1082.5
ACC-0322,Keystone Emporium,Retail,ND,2023-08-31,27000,9,1.178,663.53,On Track,3534.0
ACC-0323,Maple Lane Online,E-Commerce,CO,2024-08-28,155000,9,1.172,2811.93,Defaulted,20184.44
ACC-0324,Keystone Fleet Services,Logistics,ME,2023-05-04,40500,6,1.206,744.58,On Track,8140.5
ACC-0325,Beacon Trucking,Logistics,SC,2023-08-01,18500,18,1.207,493.71,Paid Off,1240.53
ACC-0326,Lakeside Kitchen,Food & Beverage,NM,2023-06-04,108500,6,1.332,2092.84,Paid Off,24087.0
ACC-0327,Ironclad Bistro,Food & Beverage,CT,2023-04-08,55500,12,1.203,892.1,Paid Off,5563.88
ACC-0328,Granite Boutique,Retail,AZ,2023-03-07,101000,12,1.415,1570.19,On Track,11909.58
ACC-0329,Crossroads Emporium,Retail,NJ,2023-05-17,64000,12,1.213,1385.45,Defaulted,6469.33
ACC-0330,Cascade Fulfillment,E-Commerce,MS,2023-03-29,71000,12,1.177,1722.24,Paid Off,6963.92
ACC-0331,Horizon Shop,E-Commerce,WI,2023-10-06,67000,18,1.413,1878.23,Paid Off,5259.5
ACC-0332,Ironclad Family Dental,Healthcare,NE,2023-02-22,80500,6,1.239,1341.3,On Track,16623.25
ACC-0333,Mainline Cafe,Food & Beverage,WA,2023-02-14,192500,6,1.278,3455.39,On Track,41002.5
ACC-0334,Brookstone Plumbing,Construction,HI,2024-12-24,94000,12,1.438,2157.02,On Track,11264.33
ACC-0335,Meridian Family Dental,Healthcare,MN,2023-03-06,23000,9,1.433,470.62,On Track,3662.11
ACC-0336,First Avenue Masonry,Construction,CT,2023-02-24,70500,6,1.364,1567.78,On Track,16027.0
ACC-0337,Rocky Peak Transport,Logistics,NH,2023-01-23,103000,6,1.171,2972.77,Paid Off,20102.17
ACC-0338,New Day Bakery,Food & Beverage,GA,2023-04-07,106500,9,1.328,2467.96,Late,15714.67
ACC-0339,Bayview Bakery,Food & Beverage,MO,2024-01-21,43500,6,1.447,923.37,On Track,10490.75
ACC-0340,Northwind Cartage,Logistics,LA,2024-08-27,104500,6,1.434,3118.45,On Track,24975.5
ACC-0341,Stonebridge Online,E-Commerce,GA,2024-06-21,91500,18,1.182,1462.01,Paid Off,6008.5
ACC-0342,Lakeside Cafe,Food & Beverage,CA,2024-02-29,226500,9,1.269,6564.36,On Track,31936.5
ACC-0343,Prairie Commerce Co.,E-Commerce,MT,2023-03-04,36500,18,1.245,822.16,Defaulted,2524.58
ACC-0344,Oakline Online,E-Commerce,WV,2024-07-20,41500,18,1.189,936.09,On Track,2741.31
ACC-0345,Copper Dispatch,Logistics,GA,2023-01-28,46500,6,1.358,1340.57,On Track,10524.5
ACC-0346,Cascade Grill,Food & Beverage,MA,2024-04-06,42000,12,1.232,949.61,On Track,4312.0
ACC-0347,Blue River Delivery Co.,Logistics,ID,2023-10-27,33500,12,1.253,722.8,Defaulted,3497.96
ACC-0348,Prairie Cartage,Logistics,SD,2024-10-06,12000,12,1.177,229.05,On Track,1177.0
ACC-0349,Willow Pizzeria,Food & Beverage,MA,2023-08-13,43500,6,1.299,1082.38,Paid Off,9417.75
ACC-0350,Lone Star Dry Goods,Retail,WI,2024-04-11,67500,6,1.197,1589.27,On Track,13466.25
ACC-0351,Cedar Grove Direct,E-Commerce,IL,2023-11-18,42000,6,1.28,765.04,On Track,8960.0
ACC-0352,Northwind Trading Co.,Retail,CA,2024-01-17,159500,12,1.193,4089.77,Late,15856.96
ACC-0353,Sapphire Bistro,Food & Beverage,NJ,2024-11-17,55500,18,1.436,1368.7,On Track,4427.67
ACC-0354,Trailhead Chiropractic,Healthcare,NC,2024-06-05,112000,12,1.193,2347.52,On Track,11134.67
ACC-0355,Market Street Hauling,Logistics,WY,2023-10-31,63500,12,1.307,956.69,On Track,6916.21
ACC-0356,Midtown Transport,Logistics,UT,2023-11-24,86500,18,1.209,1876.94,Late,5809.92
ACC-0357,Compass Trading Co.,Retail,VT,2024-05-30,64000,12,1.173,965.82,On Track,6256.0
ACC-0358,Golden State Fleet Services,Logistics,NY,2023-09-10,117000,6,1.211,1886.62,On Track,23614.5
ACC-0359,Bayview Boutique,Retail,LA,2023-05-03,56500,18,1.166,1212.44,Defaulted,3659.94
ACC-0360,Bayview HVAC Services,Construction,MI,2023-12-08,72500,9,1.192,1176.59,Paid Off,9602.22
ACC-0361,Market Street Logistics Group,Logistics,CT,2023-02-19,67500,6,1.298,1291.61,Late,14602.5
ACC-0362,Silver Creek Trucking,Logistics,MI,2023-05-05,47000,12,1.346,1167.12,Late,5271.83
ACC-0363,Emerald Kitchen,Food & Beverage,ME,2023-11-04,68500,18,1.176,1344.6,Paid Off,4475.33
ACC-0364,Downtown Trucking,Logistics,AK,2024-08-05,188000,9,1.282,5633.37,On Track,26779.56
ACC-0365,Blue River Apparel,Retail,HI,2024-07-25,47500,9,1.324,1365.37,On Track,6987.78
ACC-0366,Harbor Online,E-Commerce,NE,2023-07-10,69500,6,1.22,1652.69,Paid Off,14131.67
ACC-0367,Keystone Wellness Clinic,Healthcare,ME,2023-11-05,110000,6,1.262,3245.46,Paid Off,23136.67
ACC-0368,Pioneer Kitchen,Food & Beverage,WY,2023-04-23,103000,6,1.172,2886.09,Defaulted,20119.33
ACC-0369,Stonebridge Outfitters,Retail,MS,2024-07-06,55500,12,1.216,1097.98,Paid Off,5624.0
ACC-0370,Vanguard Masonry,Construction,WV,2023-06-30,15000,18,1.29,393.66,On Track,1075.0
ACC-0371,Lone Star Physical Therapy,Healthcare,ND,2024-08-07,73000,6,1.447,1244.83,On Track,17605.17
ACC-0372,Harbor Fulfillment,E-Commerce,AZ,2024-09-07,16000,9,1.449,404.29,Paid Off,2576.0
ACC-0373,Northwind Vision Center,Healthcare,HI,2024-05-18,123500,6,1.444,2762.23,On Track,29722.33
ACC-0374,Patriot Home Health,Healthcare,OK,2023-08-30,60500,6,1.277,922.77,Late,12876.42
ACC-0375,Bayview Freight,Logistics,NV,2024-11-27,95500,12,1.174,1825.33,Paid Off,9343.08
ACC-0376,Lakeside Dry Goods,Retail,KS,2024-05-16,33500,12,1.247,982.58,On Track,3481.21
ACC-0377,Cedar Grove Masonry,Construction,NE,2024-04-17,23500,12,1.221,463.83,Paid Off,2391.13
ACC-0378,Rocky Peak Contracting,Construction,VA,2024-09-18,63500,9,1.154,1125.34,Paid Off,8142.11
ACC-0379,First Avenue Medical Group,Healthcare,MD,2024-10-06,54000,12,1.179,961.9,Defaulted,5305.5
ACC-0380,Crossroads Eatery,Food & Beverage,AZ,2023-02-26,42000,6,1.286,931.9,On Track,9002.0
ACC-0381,Lakeside Mercantile,Retail,KS,2024-10-06,57500,6,1.252,1589.28,Paid Off,11998.33
ACC-0382,Golden State Fleet Services,Logistics,WA,2024-07-13,250000,18,1.204,6592.51,On Track,16722.22
ACC-0383,Willow Cartage,Logistics,RI,2023-05-31,87000,12,1.365,1875.09,On Track,9896.25
ACC-0384,New Day Coffee Co.,Food & Beverage,TN,2023-08-13,98000,18,1.257,1776.83,On Track,6843.67
ACC-0385,Trailhead Apparel,Retail,VA,2024-07-04,87500,18,1.406,1372.96,Late,6834.72
ACC-0386,Evergreen Trading Co.,Retail,CO,2023-06-08,124000,12,1.222,2720.49,Defaulted,12627.33
ACC-0387,Beacon Dry Goods,Retail,IA,2023-11-27,49500,18,1.312,1347.47,On Track,3608.0
ACC-0388,Stonebridge Plumbing,Construction,AZ,2024-05-18,18000,9,1.205,467.01,Paid Off,2410.0
ACC-0389,Willow Logistics Group,Logistics,AL,2024-04-20,49500,6,1.299,1045.89,On Track,10716.75
ACC-0390,Copper Goods,Retail,TN,2024-10-27,86000,6,1.196,2057.17,Paid Off,17142.67
ACC-0391,Lakeside Roofing,Construction,WA,2023-03-23,32500,6,1.198,700.17,On Track,6489.17
ACC-0392,Pine Hollow Grill,Food & Beverage,DE,2023-08-04,50000,6,1.334,1184.26,Paid Off,11116.67
ACC-0393,Brookstone Urgent Care,Healthcare,OR,2024-12-20,37500,9,1.229,853.6,On Track,5120.83
ACC-0394,Hometown Online,E-Commerce,NE,2024-02-20,125500,12,1.202,3164.42,Paid Off,12570.92
ACC-0395,Market Street Builders,Construction,AR,2023-07-01,83000,12,1.429,1877.1,On Track,9883.92
ACC-0396,Beacon Delivery Co.,Logistics,VA,2023-07-31,78500,12,1.163,2285.07,Paid Off,7607.96
ACC-0397,Highland Boutique,Retail,UT,2023-09-05,77500,6,1.32,1660.08,Paid Off,17050.0
ACC-0398,Vanguard Cafe,Food & Beverage,NH,2024-02-10,54000,12,1.314,822.89,On Track,5913.0
ACC-0399,Heritage Pizzeria,Food & Beverage,OK,2023-07-28,61500,9,1.225,1140.55,On Track,8370.83
ACC-0400,Mainline Pizzeria,Food & Beverage,MD,2024-03-30,28500,6,1.286,641.51,Late,6108.5
ACC-0401,Downtown Logistics Group,Logistics,SC,2023-11-22,16500,9,1.176,381.29,Paid Off,2156.0
ACC-0402,Hometown Plumbing,Construction,MN,2024-03-22,59500,9,1.366,1385.5,On Track,9030.78
ACC-0403,Maple Lane Eatery,Food & Beverage,WY,2023-04-24,65500,9,1.217,1684.55,On Track,8857.06
ACC-0404,Stonebridge Dispatch,Logistics,AR,2024-03-31,107000,12,1.208,2045.81,On Track,10771.33
ACC-0405,Northwind Wellness Clinic,Healthcare,FL,2024-11-06,130500,12,1.244,3259.05,Paid Off,13528.5
ACC-0406,Meridian Digital,E-Commerce,WI,2023-04-09,130500,12,1.421,3335.64,Paid Off,15453.38
ACC-0407,Liberty Pediatrics,Healthcare,IA,2023-08-28,32000,6,1.389,677.41,On Track,7408.0
ACC-0408,Evergreen Outfitters,Retail,KS,2024-05-21,45500,12,1.434,956.98,Paid Off,5437.25
ACC-0409,Horizon Dispatch,Logistics,SC,2024-03-27,71500,12,1.346,1264.4,Paid Off,8019.92
ACC-0410,Maple Lane Apparel,Retail,GA,2024-05-08,221500,6,1.349,4697.97,Late,49800.58
ACC-0411,Cascade Kitchen,Food & Beverage,MT,2024-02-14,124000,12,1.294,3323.48,On Track,13371.33
ACC-0412,Keystone Kitchen,Food & Beverage,IA,2024-05-13,102000,9,1.422,2920.73,On Track,16116.0
ACC-0413,Willow Smokehouse,Food & Beverage,GA,2024-03-21,44500,9,1.303,1063.74,On Track,6442.61
ACC-0414,Granite Supply Co.,Retail,WI,2023-02-24,34000,6,1.257,662.68,On Track,7123.0
ACC-0415,Highland Outfitters,Retail,GA,2024-07-03,85000,12,1.342,2144.92,On Track,9505.83
ACC-0416,Granite Excavation,Construction,CA,2023-11-23,30000,6,1.314,783.07,On Track,6570.0
ACC-0417,Harbor Express,Logistics,ND,2023-02-07,48000,6,1.187,959.19,On Track,9496.0
ACC-0418,Prairie Supply Co.,Retail,UT,2023-10-27,51500,6,1.268,1411.01,Paid Off,10883.67
ACC-0419,Oakline Coffee Co.,Food & Beverage,CT,2023-11-15,132000,18,1.244,2125.92,On Track,9122.67
ACC-0420,Silver Creek Direct,E-Commerce,OK,2023-03-05,45500,9,1.404,689.84,Paid Off,7098.0
ACC-0421,Beacon Freight,Logistics,NV,2024-12-29,14500,9,1.264,244.25,On Track,2036.44
ACC-0422,Rocky Peak Electric,Construction,TN,2023-06-12,72500,9,1.396,1257.16,Paid Off,11245.56
ACC-0423,Maple Lane Roofing,Construction,CT,2023-08-30,37500,18,1.283,1056.9,On Track,2672.92
ACC-0424,Urban DTC,E-Commerce,WI,2023-11-19,56500,12,1.376,1207.67,Late,6478.67
ACC-0425,New Day Home Health,Healthcare,NM,2024-08-31,52500,18,1.191,1004.01,Late,3473.75
ACC-0426,Silver Creek Kitchen,Food & Beverage,TX,2024-06-27,47500,9,1.427,1018.22,On Track,7531.39
ACC-0427,Ironclad Dispatch,Logistics,ME,2024-07-17,85000,6,1.294,1778.42,Paid Off,18331.67
ACC-0428,Stonebridge Roofing,Construction,WV,2023-06-23,23500,12,1.228,458.77,On Track,2404.83
ACC-0429,Mainline Dry Goods,Retail,NY,2024-09-10,41500,9,1.222,708.34,Paid Off,5634.78
ACC-0430,Hometown Roofing,Construction,CT,2024-08-29,80000,12,1.23,1987.1,On Track,8200.0
ACC-0431,Emerald Goods,Retail,WA,2023-12-06,39000,18,1.26,664.91,On Track,2730.0
ACC-0432,Silver Creek Electric,Construction,SC,2024-02-03,22500,9,1.365,599.21,On Track,3412.5
ACC-0433,Cedar Grove Plumbing,Construction,KS,2023-01-28,79500,18,1.435,1433.01,Late,6337.92
ACC-0434,Compass Goods,Retail,NV,2024-07-09,102000,12,1.351,2649.0,On Track,11483.5
ACC-0435,Cedar Grove Medical Group,Healthcare,MD,2024-12-03,53500,9,1.314,1448.98,Paid Off,7811.0
ACC-0436,Meridian Supply Co.,Retail,NV,2023-12-12,18500,9,1.285,312.28,On Track,2641.39
ACC-0437,Cascade Storefront,E-Commerce,WI,2024-01-31,81000,6,1.398,1320.4,On Track,18873.0
ACC-0438,Vanguard Fleet Services,Logistics,VT,2023-12-31,22000,12,1.405,643.36,On Track,2575.83
ACC-0439,Stonebridge Emporium,Retail,HI,2023-03-02,65000,6,1.238,1426.47,Defaulted,13411.67
ACC-0440,Keystone Vision Center,Healthcare,WI,2024-03-29,34000,9,1.436,831.42,Late,5424.89
ACC-0441,Old Town Freight,Logistics,MI,2024-06-11,29000,12,1.269,445.12,On Track,3066.75
ACC-0442,Blue River Pizzeria,Food & Beverage,OK,2024-11-09,43000,6,1.39,824.77,Paid Off,9961.67
ACC-0443,Urban Supply Co.,Retail,RI,2024-11-10,49500,6,1.44,1117.76,On Track,11880.0
ACC-0444,Sunrise Chiropractic,Healthcare,MO,2023-12-26,38500,12,1.361,1089.29,On Track,4366.54
ACC-0445,Keystone Online,E-Commerce,MN,2024-12-02,76000,6,1.198,1449.44,On Track,15174.67
ACC-0446,Meridian Commerce Co.,E-Commerce,MN,2024-01-22,43000,9,1.326,1145.0,On Track,6335.33
ACC-0447,Heritage Bakery,Food & Beverage,UT,2024-04-14,94500,9,1.186,2356.19,On Track,12453.0
ACC-0448,Oakline Hauling,Logistics,MD,2024-03-16,64000,9,1.387,1070.66,Paid Off,9863.11
ACC-0449,Lone Star Digital,E-Commerce,IN,2024-12-31,37500,6,1.234,727.52,On Track,7712.5
ACC-0450,Urban Smokehouse,Food & Beverage,ME,2024-06-23,34000,12,1.359,631.31,Late,3850.5
ACC-0451,Cascade Trucking,Logistics,GA,2023-03-29,22000,18,1.423,476.03,Paid Off,1739.22
ACC-0452,Patriot Trucking,Logistics,MD,2023-02-22,64500,6,1.204,1582.19,Late,12943.0
ACC-0453,Trailhead Home Health,Healthcare,CO,2023-10-27,45500,18,1.268,978.31,Paid Off,3205.22
ACC-0454,Crossroads Apparel,Retail,CA,2024-01-12,15000,12,1.344,280.02,Late,1680.0
ACC-0455,Golden State Direct,E-Commerce,OR,2024-05-03,41000,12,1.276,1042.97,On Track,4359.67
ACC-0456,Urban Marketplace,E-Commerce,AR,2023-12-19,33500,12,1.202,796.2,On Track,3355.58
ACC-0457,Market Street Market,Retail,NH,2024-01-12,131000,12,1.159,2985.45,On Track,12652.42
ACC-0458,Heritage Commerce Co.,E-Commerce,RI,2024-11-04,21500,12,1.272,501.3,Defaulted,2279.0
ACC-0459,Heritage Delivery Co.,Logistics,OR,2023-09-02,25000,9,1.345,458.21,On Track,3736.11
ACC-0460,Prairie Supply Co.,Retail,MN,2023-12-27,101500,12,1.322,2558.46,Paid Off,11181.92
ACC-0461,Harbor Remodeling,Construction,GA,2024-02-12,116000,9,1.197,2414.25,Late,15428.0
ACC-0462,Heritage Market,Retail,WA,2023-12-09,36500,6,1.285,746.5,On Track,7817.08
ACC-0463,Cedar Grove Remodeling,Construction,TN,2024-12-08,39000,12,1.261,672.59,Late,4098.25
ACC-0464,Old Town Vision Center,Healthcare,NM,2024-12-04,77000,6,1.232,1844.35,On Track,15810.67
ACC-0465,Rocky Peak Outfitters,Retail,CA,2024-01-11,15500,9,1.369,372.62,On Track,2357.72
ACC-0466,Meridian Fleet Services,Logistics,AK,2023-11-26,20000,6,1.243,402.09,Paid Off,4143.33
ACC-0467,Patriot Dry Goods,Retail,KS,2024-03-06,47000,6,1.312,1311.19,On Track,10277.33
ACC-0468,Market Street Storefront,E-Commerce,DE,2023-05-13,129000,12,1.427,3570.96,On Track,15340.25
ACC-0469,Pine Hollow Kitchen,Food & Beverage,UT,2023-11-08,43500,12,1.312,723.66,On Track,4756.0
ACC-0470,Summit Transport,Logistics,HI,2023-06-08,58000,9,1.335,1474.68,On Track,8603.33
ACC-0471,Sunrise Remodeling,Construction,IA,2023-04-16,102500,6,1.172,2143.02,Late,20021.67
ACC-0472,Rocky Peak Builders,Construction,WI,2023-03-11,175000,9,1.203,5249.25,Late,23391.67
ACC-0473,Redwood Dermatology,Healthcare,SD,2024-03-05,40000,9,1.18,735.01,On Track,5244.44
ACC-0474,Crossroads Urgent Care,Healthcare,HI,2023-01-01,54500,12,1.379,1046.83,On Track,6262.96
ACC-0475,Pioneer Storefront,E-Commerce,MD,2024-04-17,150000,12,1.401,3244.74,On Track,17512.5
ACC-0476,Keystone Excavation,Construction,MT,2023-11-12,24000,9,1.206,456.74,Late,3216.0
ACC-0477,Brookstone Delivery Co.,Logistics,ND,2023-09-25,97000,9,1.216,2461.85,Paid Off,13105.78
ACC-0478,Brookstone Trading Co.,Retail,WA,2024-07-16,31500,18,1.247,699.73,On Track,2182.25
ACC-0479,Urban DTC,E-Commerce,UT,2024-01-29,58000,12,1.327,1062.16,On Track,6413.83
ACC-0480,Granite Supply Co.,Retail,WI,2024-06-20,48000,9,1.337,1084.59,Defaulted,7130.67
ACC-0481,Highland Grill,Food & Beverage,AZ,2024-06-02,32500,9,1.356,920.78,Late,4896.67
ACC-0482,Summit Masonry,Construction,ID,2023-01-24,32000,6,1.422,860.35,On Track,7584.0
ACC-0483,Granite Smokehouse,Food & Beverage,NH,2023-06-07,64000,18,1.239,1438.88,Late,4405.33
ACC-0484,Pine Hollow HVAC Services,Construction,AZ,2024-02-21,95000,9,1.348,1836.1,On Track,14228.89
ACC-0485,Evergreen Wellness Clinic,Healthcare,LA,2024-12-14,51000,9,1.318,902.61,On Track,7468.67
ACC-0486,Midtown Bakery,Food & Beverage,DE,2023-04-23,57000,18,1.242,1606.02,Late,3933.0
ACC-0487,Coastal Urgent Care,Healthcare,WA,2023-03-19,75500,12,1.422,1936.76,On Track,8946.75
ACC-0488,Meridian Digital,E-Commerce,AR,2024-11-18,32000,6,1.179,754.64,On Track,6288.0
ACC-0489,Midtown Contracting,Construction,DE,2024-12-07,82500,6,1.364,2325.8,Defaulted,18755.0
ACC-0490,Downtown DTC,E-Commerce,GA,2023-05-03,86500,6,1.368,1455.39,Late,19722.0
ACC-0491,Ironclad Delivery Co.,Logistics,DE,2023-10-21,230500,12,1.425,5817.21,On Track,27371.88
ACC-0492,Blue River Fleet Services,Logistics,NH,2024-04-03,44500,6,1.306,812.16,Paid Off,9686.17
ACC-0493,Beacon Roofing,Construction,ME,2023-05-23,43000,18,1.246,722.77,Late,2976.56
ACC-0494,Silver Creek Online,E-Commerce,VA,2023-08-27,84000,18,1.398,1846.67,Paid Off,6524.0
ACC-0495,Lone Star Pizzeria,Food & Beverage,IN,2023-10-16,86500,12,1.381,1800.14,Defaulted,9954.71
ACC-0496,Sapphire Home Health,Healthcare,NE,2024-04-13,41000,12,1.3,1193.82,Paid Off,4441.67
ACC-0497,Urban Mercantile,Retail,ND,2023-08-14,44000,9,1.38,873.83,On Track,6746.67
